timestamp,open,high,low,close,volume
2023-02-02 12:10:00,135.8850,136.0200,135.8600,135.8618,49338
2023-02-02 12:05:00,135.8600,135.9800,135.8100,135.8900,42972
2023-02-02 12:00:00,135.9800,136.0000,135.7900,135.8600,34563
2023-02-02 11:55:00,135.8450,136.0000,135.8450,135.9864,44403
2023-02-02 11:50:00,135.7100,135.8600,135.6950,135.8200,45265
2023-02-02 11:45:00,135.8400,135.8700,135.6700,135.7000,57201
2023-02-02 11:40:00,135.7400,135.8685,135.7400,135.8550,35521
2023-02-02 11:35:00,135.7550,135.8100,135.6500,135.7300,47222
2023-02-02 11:30:00,135.8111,135.8900,135.7200,135.7600,46842
2023-02-02 11:25:00,135.6600,135.8400,135.6350,135.8200,30562
2023-02-02 11:20:00,135.8100,135.9000,135.6050,135.6700,50615
2023-02-02 11:15:00,135.8500,135.8500,135.7000,135.7900,40241
2023-02-02 11:10:00,135.9600,135.9800,135.7600,135.8650,46145
2023-02-02 11:05:00,135.9350,135.9400,135.7200,135.9400,56019
2023-02-02 11:00:00,136.0500,136.1000,135.8900,135.9200,46780
2023-02-02 10:55:00,135.8200,136.2000,135.7750,136.0800,92893
2023-02-02 10:50:00,135.5500,135.9250,135.4400,135.7900,137466
2023-02-02 10:45:00,135.5350,135.6600,135.4650,135.5450,83239
2023-02-02 10:40:00,135.3800,135.6200,135.3350,135.5200,49183
2023-02-02 10:35:00,135.2500,135.5700,135.1900,135.3800,61106
2023-02-02 10:30:00,135.3500,135.4800,135.2000,135.2100,44278
2023-02-02 10:25:00,135.4600,135.5500,135.3401,135.3650,47486
2023-02-02 10:20:00,135.2700,135.4800,135.2000,135.4800,60594
2023-02-02 10:15:00,135.0400,135.3100,134.9600,135.2600,76954
2023-02-02 10:10:00,135.2800,135.3599,135.0200,135.0500,87843
2023-02-02 10:05:00,135.2900,135.6200,135.2101,135.3200,63990
2023-02-02 10:00:00,135.2450,135.2900,135.0600,135.2800,83975
2023-02-02 09:55:00,135.2850,135.5500,135.1700,135.2450,81997
2023-02-02 09:50:00,135.3100,135.3725,135.1600,135.2800,89133
2023-02-02 09:45:00,135.1950,135.3900,135.0000,135.3300,121493
2023-02-02 09:40:00,135.4800,135.5100,134.8500,135.1600,91497
2023-02-02 09:35:00,135.9600,135.9600,135.2150,135.4300,187167
2023-02-02 09:30:00,135.7000,135.7800,135.7000,135.7800,1523
2023-02-02 09:25:00,135.6900,135.7000,135.6000,135.7000,1522
2023-02-02 09:20:00,135.7100,135.7400,135.7100,135.7400,1411
2023-02-02 09:10:00,135.3800,135.5800,135.3800,135.5800,1291
